Departure Date,Departure Time,Departure Airport Code,Arrival Airport Code,Departure City,Departure State,Departure Country,Arrival Date,Arrival Time,Arrival City,Arrival State,Arrival Country,Flight Duration,Overnight Flight,# Stops,Nonstop Flight,# Available Tickets,Booking Airline Code,Booking Airline Description,Operating Airline Code,Operating Airline Description,Operating Airline Flight #,Operating Airline Flight # Description,Aircraft Code,Aircraft Description,Cabin Class,Airline Points,Airline Taxes,Currency
2024-02-08,18:00,ORD,MUC,ORD,IL,US,2024-02-09,09:35,MUC,,DE,755,Yes,No,Yes,220,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,Coach,4515,,
2024-02-08,18:00,ORD,MUC,ORD,IL,US,2024-02-09,09:35,MUC,,DE,755,Yes,No,Yes,220,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4515,,
2024-02-08,18:00,ORD,MUC,ORD,IL,US,2024-02-09,09:35,MUC,,DE,755,Yes,No,Yes,220,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,Business,4515,,
2024-02-08,16:20,ORD,VIE,ORD,IL,US,2024-02-09,08:10,VIE,,AT,740,Yes,No,Yes,168,OS,Austrian Airlines,OS,Austrian Airlines,66,OS66,772,Boeing 777-200,Coach,4699,,
2024-02-08,16:20,ORD,VIE,ORD,IL,US,2024-02-09,08:10,VIE,,AT,740,Yes,No,Yes,168,OS,Austrian Airlines,OS,Austrian Airlines,66,OS66,772,Boeing 777-200,,4699,,
2024-02-08,14:30,ORD,FRA,ORD,IL,US,2024-02-09,05:45,FRA,,DE,850,Yes,No,Yes,225,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-08,14:30,ORD,FRA,ORD,IL,US,2024-02-09,05:45,FRA,,DE,850,Yes,No,Yes,225,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-08,14:30,ORD,FRA,ORD,IL,US,2024-02-09,05:45,FRA,,DE,850,Yes,No,Yes,225,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,,4330,,
2024-02-08,14:30,ORD,FRA,ORD,IL,US,2024-02-09,05:45,FRA,,DE,905,Yes,No,Yes,225,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-08,14:30,ORD,FRA,ORD,IL,US,2024-02-09,05:45,FRA,,DE,905,Yes,No,Yes,225,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-08,14:30,ORD,FRA,ORD,IL,US,2024-02-09,05:45,FRA,,DE,905,Yes,No,Yes,225,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-08,14:30,,,ORD,IL,US,2024-02-08,17:03,YYZ,ON,CA,965,Yes,No,Yes,138,AC,Air Canada,AC,Air Canada,504,AC504,223,Airbus A220-300,Coach,435,,
2024-02-08,14:30,,,ORD,IL,US,2024-02-08,17:03,YYZ,ON,CA,965,Yes,No,Yes,138,AC,Air Canada,AC,Air Canada,504,AC504,223,Airbus A220-300,,435,,
2024-02-08,13:28,,,ORD,IL,US,2024-02-08,16:25,YYZ,ON,CA,1027,Yes,No,Yes,187,UA,United Airlines,UA,SKYWEST DBA UNITED EXPRESS,5453,UA5453,E7W,Embraer 175,Coach,435,,
2024-02-08,13:28,,,ORD,IL,US,2024-02-08,16:25,YYZ,ON,CA,1027,Yes,No,Yes,187,UA,United Airlines,UA,SKYWEST DBA UNITED EXPRESS,5453,UA5453,E7W,Embraer 175,,435,,
2024-02-08,13:15,,,ORD,IL,US,2024-02-08,16:09,IAD,DC,US,925,Yes,No,Yes,216,UA,United Airlines,UA,United Airlines,1859,UA1859,739,Boeing 737-900,Coach,587,,
2024-02-08,13:15,,,ORD,IL,US,2024-02-08,16:09,IAD,DC,US,925,Yes,No,Yes,216,UA,United Airlines,UA,United Airlines,1859,UA1859,739,Boeing 737-900,,587,,
2024-02-08,10:00,,,ORD,IL,US,2024-02-08,12:33,YYZ,ON,CA,1235,Yes,No,Yes,130,AC,Air Canada,AC,Air Canada,502,AC502,223,Airbus A220-300,Coach,435,,
2024-02-08,10:00,,,ORD,IL,US,2024-02-08,12:33,YYZ,ON,CA,1235,Yes,No,Yes,130,AC,Air Canada,AC,Air Canada,502,AC502,223,Airbus A220-300,,435,,
